AndyCooper,2006
FrankGrant,2006
PeteHill,2006
BizMackey,2006
EffaManley,2006
JoséMéndez,2006
AlexPompez,2006
CumPosey,2006
LouisSantop,2006
BruceSutter,2006
MuleSuttles,2006
BenTaylor,2006
CristóbalTorriente,2006
SolWhite,2006
J.L.Wilkinson,2006
JudWilson,2006
TonyGwynn,2007
CalRipken,2007
BarneyDreyfuss,2008
RichGossage,2008
BowieKuhn,2008
WalterOMalley,2008
BillySouthworth,2008
DickWilliams,2008
JoeGordon,2009
RickeyHenderson,2009
JimRice,2009
DougHarvey,2010
WhiteyHerzog,2010
AndreDawson,2010
RobertoAlomar,2011
BertBlyleven,2011
PatGillick,2011
BarryLarkin,2012
RonSanto,2012
HankODay,2013
JacobRuppert,2013
DeaconWhite,2013
BobbyCox,2014
TomGlavine,2014
TonyLaRussa,2014
GregMaddux,2014
FrankThomas,2014
JoeTorre,2014
CraigBiggio,2015
RandyJohnson,2015
PedroMartinez,2015
JohnSmoltz,2015
KenGriffeyJr,2016
MikePiazza,2016
JeffBagwell,2017
TimRaines,2017
IvánRodríguez,2017
JohnSchuerholz,2017
BudSelig,2017
VladimirGuerrero,2018
TrevorHoffman,2018
ChipperJones,2018
JimThome,2018
JackMorris,2018
AlanTrammell,2018
MarianoRivera,2019
RoyHalladay,2019
EdgarMartínez,2019
MikeMussina,2019
HaroldBaines,2019
LeeSmith,2019
MarvinMiller,2020
TedSimmons,2020
