1948BowmanNFLBase-13,In Stock,Single,CollectionSinglesBox,,,,,
1950BowmanNFLBase-30,In Stock,Single,CollectionSinglesBox,,,,,
1954BowmanNFLBase-39,In Stock,Single,Unknown,,PSA,31697312,,
1955BowmanNFLBase-26,In Stock,Single,CollectionSinglesBox,,,,,
1957ToppsMLBBase-76,In Stock,Single,CollectionSinglesBox,,,,,
1957ToppsNFLBase-12,In Stock,Single,NFL-RedskinsBinder1,,,,,
1958ToppsMLBBase-418,In Stock,Single,GradedBox,,PSA,26055455,6(ST),EX-MT
1958ToppsNFLBase-62,In Stock,Single,CollectionSinglesBox,,,,,
1958ToppsNFLBase-90,In Stock,Single,CollectionSinglesBox,,,,,
1958ToppsNFLBase-90,Gift,Single,,,,,,
1959ToppsNFLBase-134,In Stock,Single,NFL-RedskinsBinder1,,,,,
1959ToppsNFLBase-150,In Stock,Single,NFL-RedskinsBinder1,,,,,
1959ToppsNFLBase-168,In Stock,Single,NFL-RedskinsBinder1,,,,,
1960ToppsNFLBase-123,In Stock,Single,Unknown,,PSA,31397021,,
1960ToppsNFLBase-128,In Stock,Single,NFL-RedskinsBinder1,,,,,
1960ToppsNFLBase-131,In Stock,Single,NFL-RedskinsBinder1,,,,,
1961FleerNFLBase-116,In Stock,Single,NFL-RedskinsBinder1,,,,,
1961ToppsNFLBase-129,In Stock,Single,NFL-RedskinsBinder1,,,,,
1962ToppsNFLBase-166,In Stock,Single,NFL-RedskinsBinder1,,,,,
1962ToppsNFLBase-172,In Stock,Single,NFL-RedskinsBinder1,,,,,
1963ToppsNFLBase-159,In Stock,Single,NFL-RedskinsBinder1,,,,,
1963ToppsNFLBase-165,In Stock,Single,NFL-RedskinsBinder1,,,,,
1964PhiladelphiaNFLBase-183,In Stock,Single,NFL-RedskinsBinder1,,,,,
1964PhiladelphiaNFLBase-184,In Stock,Single,NFL-RedskinsBinder1,,,,,
1964PhiladelphiaNFLBase-185,In Stock,Single,NFL-RedskinsBinder1,,,,,
