1987FleerAwardWinnersMLBBase,1987FleerAwardWinnersMLB,Base,1
1987ToppsMLBBase,1987ToppsMLB,Base,1
1987ToppsMLBTraded,1987ToppsMLB,Traded,0
1987FleerNFLBase,1987FleerNFL,Base,1
1987ToppsNFL1000yardclub,1987ToppsNFL,1000 yard club,0
1987ToppsNFLBase,1987ToppsNFL,Base,1
1987ToppsSmallNFLBase,1987ToppsSmallNFL,Base,1
1988DonrussMLBBase,1988DonrussMLB,Base,1
1988LeafMLBBase,1988LeafMLB,Base,1
1988PacificMLBBase,1988PacificMLB,Base,1
1988PaniniStickersMLBBase,1988PaniniStickersMLB,Base,1
1988ScoreMLBBase,1988ScoreMLB,Base,1
1988ToppsMLBBase,1988ToppsMLB,Base,1
1988MaxxNASCARBase,1988MaxxNASCAR,Base,1
1988ToppsNFL1000Yd,1988ToppsNFL,1000 Yd,0
1988ToppsNFLBase,1988ToppsNFL,Base,1
1989DonrussMLBBase,1989DonrussMLB,Base,1
1989DonrussMLBTheRookies,1989DonrussMLB,The Rookies,0
1989FleerMLBBase,1989FleerMLB,Base,1
1989ScoreMLBBase,1989ScoreMLB,Base,1
1989ToppsMLBBase,1989ToppsMLB,Base,1
1989ToppsMLBTraded,1989ToppsMLB,Traded,0
1989ToppsSmallMLBBase,1989ToppsSmallMLB,Base,1
1989UpperDeckMLBBase,1989UpperDeckMLB,Base,1
1989MaxxNASCARBase,1989MaxxNASCAR,Base,1
1989HoopsNBAA,1989HoopsNBA,A,0
1989HoopsNBABase,1989HoopsNBA,Base,1
1989ActionPackedNFLBase,1989ActionPackedNFL,Base,1
1989ScoreNFLBase,1989ScoreNFL,Base,1
1989ScoreNFLSupplemental,1989ScoreNFL,Supplemental,0
1989ProsetNFLBase,1989ProsetNFL,Base,1
1989ProsetNFLBroadcasters,1989ProsetNFL,Broadcasters,0
1989ProsetNFLSuperBowls,1989ProsetNFL,Super Bowls,0
1989ProsetNFLVariations,1989ProsetNFL,Variations,0
1989ToppsNFL1000Yd,1989ToppsNFL,1000 Yd,0
1989ToppsNFLBase,1989ToppsNFL,Base,1
1989ToppsNFLTraded,1989ToppsNFL,Traded,0
1990DonrussMLBBase,1990DonrussMLB,Base,1
1990DonrussMLBTransposedPhotos,1990DonrussMLB,Transposed Photos,0
1990FleerMLBAwardWinners,1990FleerMLB,Award Winners,0
1990FleerMLBBase,1990FleerMLB,Base,1
