PaulHornung,NFL,Receptions,130,Yards,1480,TDs,12,,,,,
RayNitschke,NFL,Receptions,1,Yards,34,TDs,0,,,,,
RogerStaubach,NFL,Attempts,2958,Completions,1685,Yards,22700,TDs,153,INTs,109,Rating
RogerStaubach,NFL,Attempts,410,Yards,2264,TDs,20,,,,,
RogerStaubach,NFL,Receptions,1,Yards,-13,TDs,0,,,,,
SonnyJurgensen,NFL,Attempts,4262,Completions,2433,Yards,32224,TDs,255,INTs,189,Rating
SonnyJurgensen,NFL,Attempts,181,Yards,493,TDs,15,,,,,
SonnyJurgensen,NFL,Receptions,1,Yards,-3,TDs,0,,,,,
SterlingSharpe,NFL,Receptions,595,Yards,8134,TDs,65,,,,,
SteveLargent,NFL,Attempts,7,Completions,2,Yards,29,TDs,0,INTs,0,Rating
SteveLargent,NFL,Attempts,17,Yards,83,TDs,1,,,,,
SteveLargent,NFL,Receptions,819,Yards,13089,TDs,100,,,,,
SteveYoung,NFL,Attempts,4149,Completions,2667,Yards,33124,TDs,232,INTs,107,Rating
SteveYoung,NFL,Attempts,722,Yards,4239,TDs,43,,,,,
SteveYoung,NFL,Receptions,2,Yards,2,TDs,0,,,,,
TerryBradshaw,NFL,Attempts,3901,Completions,2025,Yards,27989,TDs,212,INTs,210,Rating
TerryBradshaw,NFL,Attempts,444,Yards,2257,TDs,32,,,,,
ThurmanThomas,NFL,Attempts,2877,Yards,12074,TDs,65,,,,,
ThurmanThomas,NFL,Receptions,472,Yards,4458,TDs,23,,,,,
TomLandry,NFL,Attempts,47,Completions,11,Yards,172,TDs,1,INTs,7,Rating
TomLandry,NFL,Attempts,36,Yards,131,TDs,1,,,,,
TomLandry,NFL,Receptions,6,Yards,109,TDs,0,,,,,
TonyDorsett,NFL,Attempts,8,Completions,2,Yards,41,TDs,1,INTs,1,Rating
TonyDorsett,NFL,Attempts,2936,Yards,12739,TDs,77,,,,,
TonyDorsett,NFL,Receptions,398,Yards,3554,TDs,13,,,,,
TroyAikman,NFL,Attempts,4715,Completions,2898,Yards,32942,TDs,165,INTs,141,Rating
TroyAikman,NFL,Attempts,327,Yards,1016,TDs,9,,,,,
TroyAikman,NFL,Receptions,2,Yards,-19,TDs,0,,,,,
WalterPayton,NFL,Attempts,34,Completions,11,Yards,331,TDs,8,INTs,6,Rating
WalterPayton,NFL,Attempts,3838,Yards,16726,TDs,110,,,,,
WalterPayton,NFL,Receptions,492,Yards,4538,TDs,15,,,,,
WarrenMoon,NFL,Attempts,6823,Completions,3988,Yards,49325,TDs,291,INTs,233,Rating
WarrenMoon,NFL,Attempts,543,Yards,1736,TDs,22,,,,,
JimBrown,NFL,Attempts,12,Completions,4,Yards,117,TDs,3,INTs,0,Rating
JimBrown,NFL,Attempts,2359,Yards,12312,TDs,106,,,,,
JimBrown,NFL,Receptions,262,Yards,2499,TDs,20,,,,,
DickButkus,NFL,Attempts,1,Yards,28,TDs,0,,,,,
LarryCsonka,NFL,Attempts,1891,Yards,8081,TDs,64,,,,,
LarryCsonka,NFL,Receptions,106,Yards,820,TDs,4,,,,,
BobGriese,NFL,Attempts,3429,Completions,1926,Yards,25092,TDs,192,INTs,172,Rating
BobGriese,NFL,Attempts,261,Yards,994,TDs,7,,,,,
GaleSayers,NFL,Attempts,18,Completions,4,Yards,111,TDs,1,INTs,2,Rating
GaleSayers,NFL,Attempts,991,Yards,4956,TDs,39,,,,,
GaleSayers,NFL,Receptions,112,Yards,1307,TDs,9,,,,,
BartStarr,NFL,Attempts,3149,Completions,1808,Yards,24718,TDs,152,INTs,138,Rating
BartStarr,NFL,Attempts,247,Yards,1308,TDs,15,,,,,
JohnnyUnitas,NFL,Attempts,5186,Completions,2830,Yards,40239,TDs,290,INTs,253,Rating
JohnnyUnitas,NFL,Attempts,450,Yards,1777,TDs,13,,,,,
JohnnyUnitas,NFL,Receptions,1,Yards,1,TDs,0,,,,,
PaulWarfield,NFL,Attempts,22,Yards,204,TDs,0,,,,,
PaulWarfield,NFL,Receptions,427,Yards,8565,TDs,85,,,,,
LanceAlworth,NFL,Attempts,2,Completions,1,Yards,-11,TDs,0,INTs,0,Rating
LanceAlworth,NFL,Attempts,24,Yards,129,TDs,2,,,,,
LanceAlworth,NFL,Receptions,542,Yards,10266,TDs,85,,,,,
LemBarney,NFL,Attempts,5,Yards,45,TDs,0,,,,,
LemBarney,NFL,Interceptions,56,Yards,1077,TDs,7,,,,,
JanStenerud,NFL,Attempts,1,Yards,0,TDs,0,,,,,
JamesLofton,NFL,Attempts,5,Completions,1,Yards,43,TDs,0,INTs,0,Rating
JamesLofton,NFL,Attempts,32,Yards,246,TDs,1,,,,,
JamesLofton,NFL,Receptions,764,Yards,14004,TDs,75,,,,,
JohnStallworth,NFL,Attempts,9,Yards,111,TDs,1,,,,,
JohnStallworth,NFL,Receptions,537,Yards,8723,TDs,63,,,,,
RonYary,NFL,Receptions,1,Yards,5,TDs,0,,,,,
JackieSmith,NFL,Attempts,38,Yards,327,TDs,3,,,,,
JackieSmith,NFL,Receptions,480,Yards,7918,TDs,40,,,,,
LarryWilson,NFL,Attempts,5,Yards,36,TDs,1,,,,,
LeroyKelly,NFL,Attempts,16,Completions,3,Yards,93,TDs,2,INTs,0,Rating
LeroyKelly,NFL,Attempts,1727,Yards,7274,TDs,74,,,,,
LeroyKelly,NFL,Receptions,190,Yards,2281,TDs,13,,,,,
PaulKrause,NFL,Attempts,2,Completions,1,Yards,11,TDs,1,INTs,0,Rating
PaulKrause,NFL,Attempts,1,Yards,0,TDs,0,,,,,
PaulKrause,NFL,Receptions,2,Yards,17,TDs,0,,,,,
DaveCasper,NFL,Attempts,6,Yards,27,TDs,0,,,,,
DaveCasper,NFL,Receptions,378,Yards,5216,TDs,52,,,,,
JohnMackey,NFL,Attempts,19,Yards,127,TDs,0,,,,,
JohnMackey,NFL,Receptions,331,Yards,5236,TDs,38,,,,,
MelRenfro,NFL,Attempts,8,Yards,52,TDs,0,,,,,
MelRenfro,NFL,Receptions,4,Yards,65,TDs,0,,,,,
RaymondBerry,NFL,Receptions,631,Yards,9275,TDs,68,,,,,
MikeDitka,NFL,Attempts,2,Yards,2,TDs,0,,,,,
MikeDitka,NFL,Receptions,427,Yards,5812,TDs,43,,,,,
HarryCarson,NFL,Receptions,1,Yards,13,TDs,1,,,,,
DonShula,NFL,Attempts,2,Yards,3,TDs,0,,,,,
DonShula,NFL,Receptions,1,Yards,6,TDs,0,,,,,
JimmyJohnson,NFL,Receptions,40,Yards,690,TDs,4,,,,,
RayfieldWright,NFL,Attempts,1,Yards,-10,TDs,0,,,,,
RayfieldWright,NFL,Receptions,2,Yards,27,TDs,1,,,,,
LennyMoore,NFL,Attempts,12,Completions,3,Yards,33,TDs,2,INTs,2,Rating
LennyMoore,NFL,Attempts,1069,Yards,5174,TDs,63,,,,,
LennyMoore,NFL,Receptions,363,Yards,6039,TDs,48,,,,,
SteveVan Buren,NFL,Attempts,3,Completions,1,Yards,35,TDs,0,INTs,0,Rating
SteveVan Buren,NFL,Attempts,1320,Yards,5860,TDs,69,,,,,
SteveVan Buren,NFL,Receptions,45,Yards,523,TDs,3,,,,,
YaleLary,NFL,Attempts,10,Yards,153,TDs,0,,,,,
SammyBaugh,NFL,Attempts,2995,Completions,1693,Yards,21886,TDs,187,INTs,203,Rating
SammyBaugh,NFL,Attempts,324,Yards,325,TDs,9,,,,,
SammyBaugh,NFL,Receptions,1,Yards,0,TDs,0,,,,,
