NFL1984,3,58,Houston Oilers,JohnnyMeads,Johnny,Meads,,Linebacker,NichollsState
NFL1984,3,59,New York Giants,JeffHostetler,Jeff,Hostetler,,Quarterback,WestVirginia
NFL1984,3,60,Philadelphia Eagles,RustyRussell,Rusty,Russell,,Tackle,SouthCarolina
NFL1984,3,61,Kansas City Chiefs,HermanHeard,Herman,Heard,,Running back,SouthernColorado
NFL1984,3,62,Detroit Lions,EricWilliams3,Eric,Williams,,Defensive tackle,WashingtonState
NFL1984,3,63,Atlanta Falcons,RodMcSwain,Rod,McSwain,,Cornerback,Clemson
NFL1984,3,64,New York Jets,KyleClifton,Kyle,Clifton,,Linebacker,TexasChristian
NFL1984,3,65,Cincinnati Bengals,StanfordJennings,Stanford,Jennings,,Running back,Furman
NFL1984,3,66,Indianapolis Colts,ChrisScott,Chris,Scott,,Defensive tackle,Purdue
NFL1984,3,67,Minnesota Vikings,AlfredAnderson,Alfred,Anderson,,Running back,Baylor
NFL1984,3,68,New Orleans Saints,TerryHoage,Terry,Hoage,,Safety,Georgia
NFL1984,3,69,New Orleans Saints,TyroneAnthony,Tyrone,Anthony,,Running back,NorthCarolina
NFL1984,3,70,New England Patriots,JonathanWilliams,Jonathan,Williams,,Running back,PennState
NFL1984,3,71,Chicago Bears,StefanHumphries,Stefan,Humphries,,Guard,Michigan
NFL1984,3,72,Green Bay Packers,DonnieHumphrey,Donnie,Humphrey,,Defensive tackle,Auburn
NFL1984,3,73,San Francisco 49ers,GuyMcIntyre,Guy,McIntyre,,Guard,Georgia
NFL1984,3,74,Detroit Lions,ErnestAnderson,Ernest,Anderson,,Running back,OklahomaState
NFL1984,3,75,Detroit Lions,SteveBaack,Steve,Baack,,Defensive end,Oregon
NFL1984,3,76,Seattle Seahawks,FreddYoung,Fredd,Young,,Linebacker,NewMexicoState
NFL1984,3,77,Buffalo Bills,RodneyBellinger,Rodney,Bellinger,,Defensive back,MiamiFL
NFL1984,3,78,Denver Broncos,TonyLilly,Tony,Lilly,,Safety,Florida
NFL1984,3,79,Buffalo Bills,SeanMcNanie,Sean,McNanie,,Defensive end,SanDiegoState
NFL1984,3,80,St Louis Cardinals,RickMcIvor,Rick,McIvor,,Quarterback,Texas
NFL1984,3,81,Dallas Cowboys,FredCornwell,Fred,Cornwell,,Tight end,USC
NFL1984,3,82,Buffalo Bills,SpeedyNeal,Speedy,Neal,,Running back,MiamiFL
NFL1984,3,83,Washington Redskins,JaySchroeder,Jay,Schroeder,,Quarterback,UCLA
NFL1984,3,84,Los Angeles Raiders,JoeMcCall,Joe,McCall,,Running back,Pittsburgh
NFL1984,4,85,Houston Oilers,MarkStudaway,Mark,Studaway,,Defensive end,Tennessee
NFL1984,4,86,Seattle Seahawks,RickeyHagood,Rickey,Hagood,,Defensive tackle,SouthCarolina
NFL1984,4,87,New York Giants,ConradGoode,Conrad,Goode,,Tackle,Missouri
NFL1984,4,88,Philadelphia Eagles,EvanCooper,Evan,Cooper,,Cornerback,Michigan
NFL1984,4,89,Denver Broncos,RandyRobbins,Randy,Robbins,,Cornerback,Arizona
NFL1984,4,90,Kansas City Chiefs,MarkRobinson,Mark,Robinson,,Safety,PennState
NFL1984,4,91,New York Jets,BobbyBell,Bobby,Bell,,Linebacker,Missouri
NFL1984,4,92,Cincinnati Bengals,JohnFarley2,John,Farley,,Running back,SacramentoState
NFL1984,4,93,Indianapolis Colts,CraigCurry2,Craig,Curry,,Cornerback,Texas
NFL1984,4,94,Atlanta Falcons,RydellMalancon,Rydell,Malancon,,Linebacker,LouisianaState
NFL1984,4,95,Buffalo Bills,MitchellBrookins,Mitchell,Brookins,,Wide receiver,Illinois
NFL1984,4,96,Cleveland Browns,RickeyBolden,Rickey,Bolden,,Tight end,SouthernMethodist
NFL1984,4,97,New Orleans Saints,JoelHilgenberg,Joel,Hilgenberg,,Center,Iowa
NFL1984,4,98,Chicago Bears,TomAndrews,Tom,Andrews,,Guard,Louisville
NFL1984,4,99,Green Bay Packers,JohnDorsey,John,Dorsey,,Linebacker,Connecticut
NFL1984,4,100,Houston Oilers,PatrickAllen,Patrick,Allen,,Cornerback,UtahState
NFL1984,4,101,St Louis Cardinals,MartinBayless,Martin,Bayless,,Safety,BowlingGreen
NFL1984,4,102,Washington Redskins,JimmySmith,Jimmy,Smith,,Running back,Elon
NFL1984,4,103,Indianapolis Colts,GeorgeWonsley,George,Wonsley,,Running back,MississippiState
NFL1984,4,104,Cleveland Browns,BrianBrennan,Brian,Brennan,,Wide receiver,BostonCollege
NFL1984,4,105,New York Giants,GaryReasons,Gary,Reasons,,Linebacker,NorthwestLouisiana
NFL1984,4,106,Detroit Lions,DaveDAddio,Dave,D'Addio,,Running back,Maryland
NFL1984,4,107,Tampa Bay Buccaneers,MichaelGunter,Michael,Gunter,,Running back,Tulsa
NFL1984,4,108,Pittsburgh Steelers,WeegieThompson,Weegie,Thompson,,Wide receiver,FloridaState
NFL1984,4,109,Miami Dolphins,JoeCarter3,Joe,Carter,,Running back,Alabama
NFL1984,4,110,Dallas Cowboys,SteveDeOssie,Steve,DeOssie,,Linebacker,BostonCollege
NFL1984,4,111,Pittsburgh Steelers,TerryLong,Terry,Long,,Guard,EastCarolina
