NFL1979,1,1,Buffalo Bills,TomCousineau,Tom,Cousineau,,Linebacker,OhioState
NFL1979,1,2,Kansas City Chiefs,MikeBell,Mike,Bell,,Defensive End,ColoradoState
NFL1979,1,3,Cincinnati Bengals,JackThompson,Jack,Thompson,,Quarterback,WashingtonState
NFL1979,1,4,Chicago Bears,DanHampton,Dan,Hampton,,Defensive Tackle,Arkansas
NFL1979,1,5,Buffalo Bills,JerryButler,Jerry,Butler,,Wide Receiver,Clemson
NFL1979,1,6,Baltimore Colts,BarryKrauss,Barry,Krauss,,Linebacker,Alabama
NFL1979,1,7,New York Giants,PhilSimms,Phil,Simms,,Quarterback,MoreheadState
NFL1979,1,8,St Louis Cardinals,OttisAnderson,Ottis,Anderson,,Running Back,Miami
NFL1979,1,9,Chicago Bears,AlHarris,Al,Harris,,Defensive End,ArizonaState
NFL1979,1,10,Detroit Lions,KeithDorney,Keith,Dorney,,Offensive Tackle,PennState
NFL1979,1,11,New Orleans Saints,RussellErxleben,Russell,Erxleben,,Place Kicker/Punter,Texas
NFL1979,1,12,Cincinnati Bengals,CharlesAlexander,Charles,Alexander,,Running Back,LSU
NFL1979,1,13,San Diego Chargers,KellenWinslow,Kellen,Winslow,,Tight End,Missouri
NFL1979,1,14,New York Jets,MartyLyons,Marty,Lyons,,Defensive End,Alabama
NFL1979,1,15,Green Bay Packers,EddieLeeIvery,Eddie Lee,Ivery,,Running Back,GeorgiaTech
NFL1979,1,16,Minnesota Vikings,TedBrown,Ted,Brown,,Running Back,NorthCarolinaState
NFL1979,1,17,Atlanta Falcons,DonSmith2,Don,Smith,,Defensive End,Miami
NFL1979,1,18,Seattle Seahawks,ManuTuiasosopo,Manu,Tuiasosopo,,Defensive Tackle,UCLA
NFL1979,1,19,Los Angeles Rams,GeorgeAndrews,George,Andrews,,Linebacker,Nebraska
NFL1979,1,20,Cleveland Browns,WillisAdams,Willis,Adams,,Wide Receiver,Houston
NFL1979,1,21,Philadelphia Eagles,JerryRobinson,Jerry,Robinson,,Linebacker,UCLA
NFL1979,1,22,Denver Broncos,KelvinClark,Kelvin,Clark,,Offensive Tackle,Nebraska
NFL1979,1,23,Kansas City Chiefs,SteveFuller,Steve,Fuller,,Quarterback,Clemson
NFL1979,1,24,Miami Dolphins,JonGiesler,Jon,Giesler,,Offensive Tackle,Michigan
NFL1979,1,25,New England Patriots,RickSanford,Rick,Sanford,,Defensive Back,SouthCarolina
NFL1979,1,26,Los Angeles Rams,KentHill,Kent,Hill,,Offensive Tackle,GeorgiaTech
NFL1979,1,27,Dallas Cowboys,RobertShaw,Robert,Shaw,,Center,Tennessee
NFL1979,1,28,Pittsburgh Steelers,GregHawthorne,Greg,Hawthorne,,Running Back,Baylor
NFL1979,2,29,San Francisco 49ers,JamesOwens2,James,Owens,,Wide Receiver,UCLA
NFL1979,2,30,Cincinnati Bengals,DanRoss,Dan,Ross,,Tight End,Northeastern
NFL1979,2,31,Houston Oilers,MikeStensrud,Mike,Stensrud,,Defensive End,IowaState
NFL1979,2,32,Buffalo Bills,FredSmerlas,Fred,Smerlas,,Defensive Tackle,BostonCollege
NFL1979,2,33,Tampa Bay Buccaneers,GregRoberts,Greg,Roberts,,Offensive Guard,Oklahoma
NFL1979,2,34,Tampa Bay Buccaneers,GordonJones,Gordon,Jones,,Wide Receiver,Pittsburgh
NFL1979,2,35,St Louis Cardinals,TheotisBrown,Theotis,Brown,,Running Back,UCLA
NFL1979,2,36,New York Giants,EarnestGray,Earnest,Gray,,Wide Receiver,MemphisState
NFL1979,2,37,Detroit Lions,KenFantetti,Ken,Fantetti,,Linebacker,Wyoming
NFL1979,2,38,New Orleans Saints,ReggieMathis,Reggie,Mathis,,Linebacker,Oklahoma
NFL1979,2,39,Chicago Bears,RickeyWatts,Rickey,Watts,,Wide Receiver,Tulsa
NFL1979,2,40,Cleveland Browns,LawrenceJohnson,Lawrence,Johnson,,Defensive Back,Wisconsin
NFL1979,2,41,New York Jets,MarkGastineau,Mark,Gastineau,,Defensive End,EastCentral
NFL1979,2,42,Oakland Raiders,WillieJones3,Willie,Jones,,Defensive End,FloridaState
NFL1979,2,43,Minnesota Vikings,DaveHuffman,Dave,Huffman,,Center,NotreDame
NFL1979,2,44,Green Bay Packers,SteveAtkins,Steve,Atkins,,Running Back,Maryland
NFL1979,2,45,Seattle Seahawks,JoeNorman,Joe,Norman,,Linebacker,Indiana
NFL1979,2,46,St Louis Cardinals,CalvinFavron,Calvin,Favron,,Linebacker,SoutheasternLouisiana
NFL1979,2,47,Cleveland Browns,SamClaphan,Sam,Claphan,,Offensive Tackle,Oklahoma
NFL1979,2,48,Philadelphia Eagles,PeteyPerot,Petey,Perot,,Offensive Guard,NorthwesternState
NFL1979,2,49,Atlanta Falcons,PatHowell,Pat,Howell,,Offensive Guard,USC
NFL1979,2,50,Houston Oilers,JesseBaker,Jesse,Baker,,Defensive End,JacksonvilleState
NFL1979,2,51,Buffalo Bills,JimHaslett,Jim,Haslett,,Linebacker,IUP
NFL1979,2,52,New England Patriots,BobGolic,Bob,Golic,,Defensive Tackle,NotreDame
NFL1979,2,53,Miami Dolphins,JeffToews,Jeff,Toews,,Offensive Tackle,Washington
NFL1979,2,54,Los Angeles Rams,EddieHill,Eddie,Hill,,Running Back,MemphisState
NFL1979,2,55,Dallas Cowboys,AaronMitchell,Aaron,Mitchell,,Defensive Back,UNLV
NFL1979,2,56,Pittsburgh Steelers,ZackValentine,Zack,Valentine,,Linebacker,EastCarolina
NFL1979,3,57,Seattle Seahawks,MichaelJackson2,Michael,Jackson,,Linebacker,Washington
NFL1979,3,58,Los Angeles Rams,JeffMoore2,Jeff,Moore,,Wide Receiver,Tennessee
NFL1979,3,59,Cincinnati Bengals,BarneyCotton,Barney,Cotton,,Offensive Guard,Nebraska
NFL1979,3,60,Tampa Bay Buccaneers,JerryEckwood,Jerry,Eckwood,,Running Back,Arkansas
NFL1979,3,61,Miami Dolphins,TonyNathan,Tony,Nathan,,Running Back,Alabama
NFL1979,3,62,Buffalo Bills,JonBorchardt,Jon,Borchardt,,Offensive Tackle,MontanaState
NFL1979,3,63,Miami Dolphins,MelLand,Mel,Land,,Linebacker,MichiganState
NFL1979,3,64,St Louis Cardinals,JoeBostic,Joe,Bostic,,Offensive Tackle,Clemson
NFL1979,3,65,Miami Dolphins,RonnieLee,Ronnie,Lee,,Tight End,Baylor
NFL1979,3,66,Chicago Bears,WillieMcClendon,Willie,McClendon,,Running Back,Georgia
NFL1979,3,67,Detroit Lions,BoRobinson,Bo,Robinson,,Running Back,WestTexasState
NFL1979,3,68,New York Jets,DonaldDykes,Donald,Dykes,,Defensive Back,SoutheasternLouisiana
NFL1979,3,69,Baltimore Colts,KimAnderson,Kim,Anderson,,Defensive Back,ArizonaState
NFL1979,3,70,Cleveland Browns,JamesRamey,James,Ramey,,Defensive End,Kentucky
NFL1979,3,71,Green Bay Packers,CharlesJohnson2,Charles,Johnson,,Defensive Tackle,Maryland
NFL1979,3,72,Houston Oilers,KennyKing,Kenny,King,,Running Back,Oklahoma
NFL1979,3,73,San Diego Chargers,CliffordThrift,Clifford,Thrift,,Linebacker,EastCentral
NFL1979,3,74,Philadelphia Eagles,TonyFranklin,Tony,Franklin,,Place Kicker,TexasA&M
NFL1979,3,75,Atlanta Falcons,JamesMayberry,James,Mayberry,,Running Back,Colorado
NFL1979,3,76,Dallas Cowboys,DougCosbie,Doug,Cosbie,,Tight End,SantaClara
NFL1979,3,77,Denver Broncos,BruceRadford,Bruce,Radford,,Defensive End,Grambling
NFL1979,3,78,Tampa Bay Buccaneers,ReginaldLewis,Reginald,Lewis,,Defensive End,NorthTexas
NFL1979,3,79,Atlanta Falcons,WilliamAndrews,William,Andrews,,Running Back,Auburn
NFL1979,3,80,Tampa Bay Buccaneers,RickBerns,Rick,Berns,,Running Back,Nebraska
NFL1979,3,81,Los Angeles Rams,MikeWellman,Mike,Wellman,,Center,Kansas
NFL1979,3,82,San Francisco 49ers,JoeMontana,Joe,Montana,,Quarterback,NotreDame
NFL1979,4,83,Buffalo Bills,KenJohnson,Ken,Johnson,,Defensive End,Knoxville
NFL1979,4,84,Cincinnati Bengals,JamesWhite2,James,White,,Defensive Tackle,AlbanyState
NFL1979,4,85,Kansas City Chiefs,FrankManumaleuga,Frank,Manumaleuga,,Linebacker,SanJoseState
NFL1979,4,86,Pittsburgh Steelers,RussellDavis,Russell,Davis,,Running Back,Michigan
NFL1979,4,87,Buffalo Bills,JeffNixon,Jeff,Nixon,,Defensive Back,Richmond
NFL1979,4,88,Detroit Lions,UlyssesNorris,Ulysses,Norris,,Tight End,Georgia
NFL1979,4,89,St Louis Cardinals,RoyGreen,Roy,Green,,WR,HendersonState
